cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,Cell_APThreshold_Slope,Cell_Depth,Cell_Layer
EXC,2.25,-0.03452736111111111,0.39666666666666656,-0.04337471526953126,0.004367414480234973,3.036613922502832e-05,0.0004325097428379135,10.0,229.0,L2/3
EXC,3.55,-0.03384705105633803,0.4690140845070423,-0.04361446664843751,0.004667948125787476,3.628206207714294e-05,0.00042706565038542766,10.0,229.0,L2/3
EXC,12.65,-0.03082937252964427,0.5577075098814229,-0.038826380800781254,0.0049754765583693294,4.6091184429898304e-05,0.0005188731756825732,10.0,229.0,L2/3
EXC,7.45,-0.031074937080536914,0.7033557046979866,-0.04270755154296875,0.006118410770962155,5.2919054633769615e-05,0.0005491930808025361,10.0,229.0,L2/3
EXC,5.15,-0.02957569781553398,0.6805825242718446,-0.0412979207578125,0.005789805252701812,5.285482630477188e-05,0.0005724340095313253,10.0,229.0,L2/3
EXC,0.05,-0.03281875,0.6,-0.053132747296874984,0.0032167882331364302,5.273357181873212e-05,0.0003899040028760936,10.0,550.0,L5
EXC,0.15,-0.035359375,1.7,-0.04765593141796875,0.0032431788870786707,2.970787328314122e-05,0.00035551860350154413,10.0,244.0,L2/3
EXC,0.45,-0.03407013888888889,1.9000000000000001,-0.04650919621874999,0.0034705613330691864,3.191281878305686e-05,0.0003990233980713606,10.0,244.0,L2/3
EXC,1.35,-0.03246145833333333,1.7666666666666666,-0.04496491109765625,0.004748436229747898,3.973978837358831e-05,0.0006000965185998212,10.0,244.0,L2/3
EXC,0.15,-0.03545104166666666,1.5166666666666666,-0.04803451359765628,0.0033629131684982084,3.642498806500027e-05,0.00044564049292798946,10.0,244.0,L2/3
EXC,0.15,-0.037461458333333336,0.8333333333333334,-0.07092859696093748,0.008099610032396913,2.9912193060109194e-05,0.0007824310043611984,10.0,250.0,L2/3
EXC,0.4,-0.037220312500000005,0.89375,-0.06669043673828125,0.008745266250814619,3.7502055705738505e-05,0.001061169837198395,10.0,250.0,L2/3
EXC,0.55,-0.037411931818181816,1.0227272727272727,-0.06282556986493121,0.009423845553459504,4.385874268237252e-05,0.0010087457547559933,10.0,250.0,L2/3
EXC,0.15,-0.03736770833333333,1.1500000000000001,-0.06133386731249998,0.00977459622886156,4.0791403374377286e-05,0.001078387533546931,10.0,250.0,L2/3
EXC,0.3,-0.037063020833333335,1.1916666666666667,-0.062139462695312495,0.009299621241292366,3.858558954349834e-05,0.000989911807650983,10.0,250.0,L2/3
EXC,0.25,-0.045294999999999995,5.2,-0.05647525216015625,0.004763976163187215,4.580207443801484e-05,0.00045972401770702097,10.0,250.0,L2/3
EXC,0.15,-0.0425,5.283333333333333,-0.05570262873828127,0.004369074536286016,3.530909708477509e-05,0.00048448984706014176,10.0,250.0,L2/3
EXC,0.3,-0.045667708333333334,5.383333333333334,-0.0518880659765625,0.004259555639061634,4.773523009529575e-05,0.0004175427794845997,10.0,250.0,L2/3
EXC,1.6,-0.0447169921875,1.1140625,-0.05637232851171874,0.0048081774619419095,3.813989403946412e-05,0.0006355081355131349,10.0,212.0,L2/3
EXC,2.7,-0.04433587962962964,1.3,-0.0571076915078125,0.005348313644831079,3.974508345054775e-05,0.0006784589002003315,10.0,212.0,L2/3
EXC,1.75,-0.04525214285714286,1.3085714285714285,-0.05715895775390625,0.0047367064107777124,3.738113300223995e-05,0.000674136356095867,10.0,212.0,L2/3
EXC,0.0,0.0,0.0,-0.0703641696109375,0.006219731090861156,2.185467808445796e-05,0.0005457387278317451,10.0,140.0,L2/3
EXC,0.0,0.0,0.0,-0.06635038401562497,0.007311848089740659,2.6953878157009828e-05,0.0006136932258792298,10.0,140.0,L2/3
EXC,0.1,-0.044978124999999994,2.2750000000000004,-0.06465829973437501,0.006830690706682361,2.243480204984087e-05,0.0007444309946338236,10.0,140.0,L2/3
EXC,0.2,-0.0441484375,2.0999999999999996,-0.06359590239453125,0.00651807568209333,2.5598979672521483e-05,0.0007798858135777154,10.0,140.0,L2/3
EXC,0.05,-0.046421875,1.85,-0.06482424549218747,0.005492254202016742,2.673686051655648e-05,0.0006535333258917037,10.0,140.0,L2/3
EXC,0.2,-0.04563359375,1.9,-0.06252033727343753,0.005341266254220136,2.6702671017290085e-05,0.0007078947506755498,10.0,140.0,L2/3
EXC,1.15,-0.049159918478260865,1.3565217391304347,-0.06477017527121048,0.004192281210624074,7.946374631114534e-05,0.0004887377207347299,10.0,650.0,L5
EXC,0.9,-0.05217378472222222,3.238888888888889,-0.06387716305190941,0.00382542880722591,6.593658340956e-05,0.00043931311191567615,10.0,650.0,L5
EXC,1.7,-0.05194669117647059,3.48235294117647,-0.06278536284772801,0.003651066838036166,6.033742767572538e-05,0.00041910961428832873,10.0,650.0,L5
EXC,0.2,-0.0414828125,0.7749999999999999,-0.06371943284765626,0.00523003163715522,6.40796704074402e-05,0.0004982012189928213,10.0,335.0,L2/3
EXC,0.1,-0.041228125,0.75,-0.0636740155859375,0.004878022303796504,6.112273931341932e-05,0.0006257607684072339,10.0,335.0,L2/3
EXC,0.0,0.0,0.0,-0.06415637840625002,0.004371896783062704,6.085271445706739e-05,0.00040218062125867496,10.0,335.0,L2/3
EXC,0.0,0.0,0.0,-0.06321330867187498,0.004765071372991399,6.310998173408615e-05,0.0004855466635480536,10.0,335.0,L2/3
EXC,0.0,0.0,0.0,-0.06380818767968753,0.003950670470770145,6.267513428739561e-05,0.00045817461421886885,10.0,335.0,L2/3
EXC,0.05,-0.040675,0.7,-0.06215912004296876,0.005191295418853054,6.728483922802554e-05,0.0004140901130170744,10.0,335.0,L2/3
EXC,0.6,-0.035853906250000005,1.0625,-0.06193013972656252,0.007433435561968259,5.174292905936829e-05,0.0008857543471890632,10.0,225.0,L2/3
EXC,1.05,-0.039232142857142854,1.5309523809523808,-0.06169475922925901,0.006143240684895252,5.393357197475186e-05,0.0006423792347394833,10.0,225.0,L2/3
