cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high
EXC,3.25,-0.028421923076923,0.5638461538461538,-0.0383751560664062,0.0051962548906697,4.292485188150986e-05,0.0005178066042933
EXC,0.2,-0.033953125,1.0125,-0.049049060296875,0.0043352864595826,5.275972423492531e-05,0.0004850928297629
EXC,0.05,-0.039290625,3.35,-0.050940471609375,0.0052856365367916,6.34672417062024e-05,0.00051851364749
EXC,0.0,0.0,0.0,-0.0475440973906249,0.004777943299089,5.6954762379206725e-05,0.0005573942941012
EXC,0.15,-0.0333614583333333,1.7333333333333334,-0.0464904637452531,0.0028805762837832,3.129791748574089e-05,0.0004025499504384
EXC,0.15,-0.03611875,1.65,-0.0469081140429687,0.0028380766054265,3.418578522600611e-05,0.0003459398454539
EXC,0.85,-0.0372965073529411,1.4529411764705882,-0.0584737016328125,0.0089324876771611,4.3967662886173234e-05,0.0010910609323865
EXC,0.05,-0.034490625,1.45,-0.0577793827460937,0.0043450796263666,4.596351150926789e-05,0.0005174284830182
EXC,0.25,-0.044771875,3.41,-0.0572052228085937,0.0047081396170548,4.291079385740001e-05,0.0005213016020738
EXC,0.4,-0.0456679687499999,1.8625,-0.06377164328125,0.0074517055937566,2.6899019380596084e-05,0.000851989685663
EXC,0.4,-0.04491015625,2.1625,-0.0604735105898437,0.0057401423617079,2.617834153380301e-05,0.0007134213528818
EXC,0.1,-0.0386140625,0.7749999999999999,-0.063692684453125,0.0038609869379611,6.33563807908679e-05,0.0004557896843659
EXC,0.15,-0.0463354166666666,2.6666666666666665,-0.06445432590625,0.005386584368738,5.162591265811897e-05,0.0007392272204383
EXC,0.05,-0.03888125,1.2,-0.0638598749765625,0.0041773447681184,3.2841981003690966e-05,0.0005583694267437
EXC,0.0,0.0,0.0,-0.0612962324765625,0.0039753463666447,3.180937779265937e-05,0.0005218683031943
EXC,0.05,-0.042909375,1.25,-0.0672060979375,0.0060528709314202,4.192725203997745e-05,0.0007410220537674
EXC,0.0,0.0,0.0,-0.068662784625,0.006043327511631,2.4763445255600388e-05,0.0006893440335442
EXC,0.7,-0.0405794642857142,1.1071428571428572,-0.059406883984375,0.0050769638760896,7.63440503811489e-05,0.0006618207099692
EXC,0.3,-0.0404354166666666,1.0916666666666666,-0.0601110337421874,0.004988245743219,7.23968448619889e-05,0.0006184304921636
EXC,0.35,-0.0409924107142857,2.2928571428571423,-0.0566170082617187,0.0050024162322781,2.5094646357762432e-05,0.0005637357538725
EXC,0.4,-0.039640625,2.5625,-0.05579276765625,0.0050855605491571,2.659491496942846e-05,0.0006197865422518
EXC,6.25,-0.0389282,1.1668,-0.0532612860820312,0.007490947011541,6.393810711701934e-05,0.0008832470521637
EXC,1.55,-0.0389523185483871,0.9419354838709676,-0.0544545331835937,0.0056931685333546,5.3392854428387925e-05,0.0006952638574135
EXC,1.5,-0.0388797916666666,1.013333333333333,-0.055855739875,0.0055286358496695,5.3944721448141066e-05,0.0005831891051698
EXC,0.35,-0.0408022321428571,1.4642857142857142,-0.0611386585703125,0.0049782088556233,5.8825007956918666e-05,0.0007110463339776
EXC,0.0,0.0,0.0,-0.063021402984375,0.004791404272012,3.371393257024868e-05,0.0005320185926989
EXC,0.25,-0.040971875,1.7700000000000002,-0.0580455059062499,0.0044320527522652,3.346264039698808e-05,0.0005226856053081
EXC,0.25,-0.043335,0.95,-0.0625713488007812,0.004478964086524,3.3676793590083446e-05,0.0006410138231255
EXC,1.45,-0.0414785560348938,1.4655172413793105,-0.0546424648806426,0.0041536649542092,5.37831828946541e-05,0.0005089968328812
EXC,0.75,-0.0416889580587546,1.0733333333333337,-0.0570486746082827,0.0045366276394409,4.960056364661687e-05,0.0005888195111065
EXC,0.95,-0.0417524654614298,0.9894736842105262,-0.057440393590494,0.0049083704889698,5.441225113092312e-05,0.0005792901068923
EXC,0.5,-0.0418221872299909,0.905,-0.0585237101434636,0.0044349287359778,5.8751103294504935e-05,0.0004876629666175
EXC,0.3,-0.0417354175200065,1.025,-0.0541265073497733,0.0030326970300805,5.787524371449731e-05,0.0003618333691891
EXC,0.8,-0.0416890617925673,1.1062500000000002,-0.0541877058348851,0.0031607170623416,5.659799154239619e-05,0.0003780810686287
EXC,2.1,-0.0414891387557699,1.2202380952380951,-0.0538007302836002,0.0038414785490533,5.633874016518802e-05,0.0004478945846383
EXC,0.0,0.0,0.0,-0.0674414075827878,0.0037815694794194,2.538442701459785e-05,0.0005350619576428
EXC,0.05,-0.0480437502264976,1.95,-0.0671698732070857,0.0038499443969905,2.6064036584460335e-05,0.0004725100579579
EXC,0.3,-0.0469151033709446,1.9416666666666669,-0.0665130146490689,0.0047730802509561,2.7808115083235048e-05,0.0005396472366956
EXC,0.15,-0.047025000055631,1.55,-0.0665102718110382,0.0048990574015899,3.2274049607005416e-05,0.0006818605787671
