Cell_Layer_L2/3,Cell_Layer_L4,Cell_Layer_L5,Cell_APThreshold_Slope,Cell_Depth,firing_rate,ap_duration,std_vm,fft_low,fft_high,ap_threshold,mean_vm,cell_type
1.0,0.0,0.0,0.25,0.23731884057971014,0.021290017347421544,0.07368421052631575,0.21830176016623554,0.119617145941874,0.1854398771499084,0.29220606896439416,1.9375098420729808,EXC
1.0,0.0,0.0,0.25,0.23731884057971014,0.0335909162592651,0.08712335935115335,0.24926614857861984,0.16250886737848597,0.18013102603284437,0.35411688416798903,1.9023036582736486,EXC
1.0,0.0,0.0,0.25,0.23731884057971014,0.11969720864217001,0.10359891824422715,0.2809512193693135,0.23362712804708796,0.269657882434059,0.6287371639936474,2.6054079789603057,EXC
1.0,0.0,0.0,0.25,0.23731884057971014,0.07049361299479577,0.13065431047021422,0.3987092787821464,0.28313066521460023,0.2992245849781889,0.6063898512879148,2.035479200534072,EXC
1.0,0.0,0.0,0.25,0.23731884057971014,0.04873048415076487,0.1264239983167513,0.3648526073164268,0.28266499592435157,0.3218881660103406,0.7428263546592042,2.2424758015038373,EXC
0.0,0.0,1.0,0.25,0.8188405797101449,0.00047311149660936763,0.11145510835913311,0.09975118002355671,0.2817858746497565,0.1438925426467319,0.4476962105735638,0.5045960017368603,EXC
1.0,0.0,0.0,0.25,0.2644927536231884,0.0014193344898281027,0.3157894736842105,0.10247024483116607,0.11484457535290185,0.11036134025193839,0.21648962502765814,1.3088365752322584,EXC
1.0,0.0,0.0,0.25,0.2644927536231884,0.004258003469484309,0.3529411764705882,0.12589776610874076,0.13083090758363533,0.15278539518218714,0.3338150387398277,1.4772283916924518,EXC
1.0,0.0,0.0,0.25,0.2644927536231884,0.012774010408452927,0.32817337461300305,0.25755894690748943,0.187578131602946,0.348863487140683,0.4802111178479575,1.70399824828235,EXC
1.0,0.0,0.0,0.25,0.2644927536231884,0.0014193344898281027,0.28173374613003094,0.11480662996147789,0.16354511173299746,0.19824443509817735,0.20814760800099188,1.253243844704344,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0014193344898281027,0.1547987616099071,0.6028349211561139,0.11632593796982113,0.5266684467114173,0.025192007302508916,-2.1086275675976927,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.003784891972874941,0.1660216718266254,0.6693577555336194,0.17135408530648144,0.798482890898748,0.047137199821523555,-1.486276828884319,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0052042264627030444,0.18998029833943145,0.7392726998556534,0.21744144206842236,0.7473611197193621,0.029699109477040953,-0.9187421847715153,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0014193344898281027,0.21362229102167182,0.7754110168453829,0.19520256802646707,0.8152728677940626,0.03372361562523639,-0.6996937919138336,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0028386689796562055,0.22136222910216716,0.7264737007780855,0.17920994020826164,0.7289950427286043,0.06145134267409943,-0.8179910849036744,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.002365557483046838,0.9659442724458204,0.25916004729022035,0.2315310180155019,0.21197809904821202,-0.6876902250149652,0.013767372914425504,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0014193344898281027,0.981424148606811,0.21847279798882718,0.15545466054323287,0.23612869935006736,-0.43333454222006046,0.12722291307562034,EXC
1.0,0.0,0.0,0.25,0.2753623188405797,0.0028386689796562055,1.0,0.20718891772338338,0.2455468150464022,0.17084472087532765,-0.7216081078802078,0.6873706724579495,EXC
1.0,0.0,0.0,0.25,0.20652173913043476,0.015139567891499764,0.20694659442724456,0.26371416694779154,0.17597855131383866,0.3833954139306934,-0.6350893048685515,0.028881149947615193,EXC
1.0,0.0,0.0,0.25,0.20652173913043476,0.025548020816905853,0.2414860681114551,0.3193651291946827,0.18761652205725166,0.42527920210630793,-0.6004066054485775,-0.0791028996866859,EXC
1.0,0.0,0.0,0.25,0.20652173913043476,0.016558902381327865,0.24307828394515696,0.2563504077772631,0.17047736952713893,0.4210640379999256,-0.6837900612102906,-0.08663106862115597,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.0,0.0,0.4091484485251948,0.057907209996817116,0.295856044530397,3.4343278974162494,-2.0257444863152294,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.0,0.0,0.521670741604572,0.09487751446643475,0.36212242703905334,3.4343278974162494,-1.4363419392085368,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.0009462229932187353,0.42260061919504643,0.4720964449593043,0.062113234338904755,0.48961242757685935,-0.6588533888841474,-1.1878685811764989,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.0018924459864374705,0.39009287925696584,0.4398872957070595,0.08505420712719364,0.5241864831790266,-0.5833486552280125,-1.031861319883179,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.00047311149660936763,0.3436532507739938,0.334195519691554,0.09330408959024175,0.40097282520938365,-0.7902401570541462,-1.2122368116197102,EXC
1.0,0.0,0.0,0.25,0.07608695652173914,0.0018924459864374705,0.3529411764705882,0.3186390269981388,0.09305620831875638,0.45398381155976014,-0.7185035504072153,-0.8739204416528867,EXC
0.0,0.0,1.0,0.25,1.0,0.010881564422015454,0.2519854623771705,0.20025754227444764,0.4755854266284991,0.24027104797829218,-1.039412578676751,-1.2042968942500136,EXC
0.0,0.0,1.0,0.25,1.0,0.008516006938968618,0.6016511867905057,0.1624602424481525,0.3775105670493079,0.19207423794438522,-1.3136859262028002,-1.073162915078794,EXC
0.0,0.0,1.0,0.25,1.0,0.0160857908847185,0.6468767073392824,0.14449549268306766,0.33691547579824466,0.17237263260177776,-1.2930195455630966,-0.9128380033476736,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.0018924459864374705,0.1439628482972136,0.30717837379450547,0.36404754577436405,0.2494994554194373,-0.3407665919184706,-1.0500010939164885,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.0009462229932187353,0.1393188854489164,0.2709103755713262,0.3426091551863824,0.373890189469458,-0.31758905597506154,-1.0433318164715466,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.0,0.0,0.21876357789544398,0.34065141651920755,0.15586418710041422,3.4343278974162494,-1.1141641686663912,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.0,0.0,0.2592728882392178,0.35701709296126277,0.23715926255988584,3.4343278974162494,-0.9756795161256521,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.0,0.0,0.17536406061555754,0.3538643548311153,0.2104671856111885,3.4343278974162494,-1.0630342574537617,EXC
1.0,0.0,0.0,0.25,0.42934782608695654,0.00047311149660936763,0.13003095975232196,0.303187328775469,0.3872857136217897,0.16747782503493797,-0.2672525668709718,-0.8208776593115089,EXC
1.0,0.0,0.0,0.25,0.2300724637681159,0.005677337959312411,0.19736842105263155,0.5341980634929884,0.27460350017666113,0.6274250464161188,0.17148539112527186,-0.7872531473583176,EXC
1.0,0.0,0.0,0.25,0.2300724637681159,0.00993534142879672,0.28438743918620074,0.40126753843343127,0.29048613557312064,0.39009582233147316,-0.13594705211357055,-0.7526888037092824,EXC
1.0,0.0,0.0,0.25,0.2300724637681159,0.00804289544235925,0.3141504279730468,0.44145593657123455,0.30505118192052594,0.5132870555330056,-0.2666837929827901,-0.5605691764756973,EXC
1.0,0.0,0.0,0.25,0.2300724637681159,0.014666456394890396,0.3876959952062318,0.6750562746966802,0.3657883365048702,0.832547864820719,-0.016496672361913208,-0.5320280133788324,EXC
1.0,0.0,0.0,0.25,0.2300724637681159,0.014666456394890396,0.5297113752122242,0.4905069160325654,0.23191027062849118,0.5366850294358583,-0.42783945255843264,-0.47308088325228154,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.0,0.0,0.048763543750474536,0.048302311242573864,0.0,3.4343278974162494,-1.8357346879265732,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.00047311149660936763,0.19504643962848295,0.32193528905924734,0.1434993573217515,0.36573545123350987,-0.05026532852961114,-1.2765208920164854,EXC
1.0,0.0,0.0,0.25,0.18115942028985504,0.0,0.0,0.303870116311075,0.14970421961619235,0.4671931949629901,3.4343278974162494,-0.8407832912798837,EXC
