cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,ap_amp_mean,ap_amp_cv,mean_ap_upstroke,ap_upstroke_cv,mean_ap_downstroke,ap_downstroke_cv,isi_mean,isi_cv,irregularity_index,adaptation_index,nb_bursts,mean_burst_dur,burst_dur_cv
EXC,3.25,-0.028421923076923,0.5638461538461538,-0.0383751560664062,0.0051962548906697,4.292485188150987e-05,0.0005178066042933,-0.0183849038461538,-0.0885074142770761,64.9875,0.0520245526848884,-20.470192307692344,-0.020990715681286,0.1987390624999999,1.3918796649648766,1.1830260699931212,0.5316496744864906,3,0.0086999999999995,0.0906274036207696
EXC,0.2,-0.033953125,1.0125,-0.049049060296875,0.0043352864595826,5.275972423492531e-05,0.0004850928297629,0.0237867187499999,0.7831345076783455,218.5625,0.5383522993966846,-76.2187499999999,-0.1825080186737188,2.149616666666667,0.6554845475936698,1.2408026237236105,0.0889191684436048,0,0.0,0.0
EXC,0.05,-0.039290625,3.35,-0.050940471609375,0.0052856365367916,6.34672417062024e-05,0.00051851364749,0.018959375,0.0,11.87500000000008,0.0,-140.9374999999999,-0.0,50.0,0.0,0.0,0.0,0,0.0,0.0
EXC,0.0,0.0,0.0,-0.0475440973906249,0.004777943299089,5.6954762379206725e-05,0.0005573942941012,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,0.0,0.0
EXC,0.15,-0.0333614583333333,1.7333333333333334,-0.0464904637452531,0.0028805762837832,3.129791748574089e-05,0.0004025499504384,-0.0154166666666666,-0.1288323410344651,45.18749999999997,0.0570053721201429,-13.06250000000002,-1.3598904033686108e-16,6.181850000000001,0.9993367681195756,1.9986735362391517,1.0006636720488853,0,0.0,0.0
EXC,0.15,-0.03611875,1.65,-0.0469081140429687,0.0028380766054265,3.418578522600611e-05,0.0003459398454539,-0.0176614583333333,-0.112106930147449,47.27083333333331,0.0181393703193086,-12.125000000000052,-0.0291590425231532,3.0353250000000003,0.9968701868827884,1.993740373765577,1.0031396396024226,0,0.0,0.0
EXC,0.85,-0.0372965073529411,1.4529411764705882,-0.0584737016328125,0.0089324876771611,4.3967662886173234e-05,0.0010910609323865,0.0008488970588235,3.291729192882116,95.57352941176472,0.0561181787885831,-29.727941176470598,-0.0696351911311977,1.105409375,1.393857349799995,1.3164715560694424,-7.05385248827908,0,0.0,0.0
EXC,0.05,-0.034490625,1.45,-0.0577793827460937,0.0043450796263666,4.596351150926789e-05,0.0005174284830182,-0.011959375,-0.0,59.24999999999999,0.0,-45.124999999999886,-0.0,50.0,0.0,0.0,0.0,0,0.0,0.0
EXC,0.25,-0.044771875,3.41,-0.0572052228085937,0.0047081396170548,4.291079385740001e-05,0.0005213016020738,-0.029086875,-0.3618209865311348,36.27499999999998,0.401228484847661,-8.662500000000016,-0.4191316863189415,3.4085625000000004,0.7476203825399433,1.5729260257562152,0.6255379110800517,0,0.0,0.0
EXC,0.4,-0.0456679687499999,1.8625,-0.06377164328125,0.0074517055937566,2.689901938059608e-05,0.000851989685663,-0.0125453125,-0.0946349883921745,67.77343749999994,0.0207079319055292,-17.39843749999997,-0.0365873636776547,2.1875,1.0362234591069144,0.8833523809523809,-1.3995542371226772,0,0.0,0.0
