Cell_tdTomatoExpressing_True,Cell_Layer_L2/3,Cell_Layer_L4,Cell_Layer_L5,Cell_APThreshold_Slope,Cell_Depth,firing_rate,ap_duration,std_vm,fft_low,fft_high,ap_threshold,mean_vm,cell_type
0.0,1.0,0.0,0.0,0.25,0.23239436619718312,0.01734412523347861,0.10251748251748251,0.42282124415858197,0.2575854972140914,0.29797289320444653,0.9451524385767935,2.9326378448749013,EXC
0.0,1.0,0.0,0.0,0.25,0.4454225352112677,0.0010673307835986838,0.18409090909090908,0.338408262593114,0.34166685480282566,0.2753257597801507,0.43152739295392467,0.9253928826914452,EXC
0.0,1.0,0.0,0.0,0.25,0.4454225352112677,0.00026683269589967095,0.6090909090909091,0.43158459827698054,0.43320872469576976,0.2984623659676029,-0.06411057491238377,0.5697099248478426,EXC
0.0,1.0,0.0,0.0,0.25,0.4454225352112677,0.0,0.0,0.38180820884422423,0.37753152997425404,0.3253787094365498,3.5844000632510205,1.208403592420349,EXC
0.0,1.0,0.0,0.0,0.25,0.25880281690140844,0.0008004980876990127,0.3151515151515152,0.1957823325136568,0.15818324841399362,0.21818287033625966,0.4864693066440226,1.4065411043368048,EXC
0.0,1.0,0.0,0.0,0.25,0.25880281690140844,0.0008004980876990127,0.30000000000000004,0.19161548453628185,0.18287252056849035,0.17899275488337651,0.23042838140161132,1.3280012900436395,EXC
0.0,1.0,0.0,0.0,0.25,0.2693661971830986,0.004536155830294405,0.2641711229946524,0.7891372877470366,0.26650081017696053,0.6948261282935237,0.1210623371765307,-0.8469261707197869,EXC
0.0,1.0,0.0,0.0,0.25,0.2693661971830986,0.00026683269589967095,0.2636363636363636,0.3393684260292647,0.2835639357307077,0.29771112692740515,0.3816153727706668,-0.7163583805819711,EXC
0.0,1.0,0.0,0.0,0.25,0.2693661971830986,0.0013341634794983546,0.62,0.3749643610189113,0.25746531082938845,0.30039241471147127,-0.573097106316075,-0.6083866752761731,EXC
0.0,1.0,0.0,0.0,0.25,0.07570422535211269,0.0021346615671973676,0.3386363636363636,0.6439551577227414,0.12057571155088019,0.5293215816560908,-0.6563079888018261,-1.843212670406799,EXC
0.0,1.0,0.0,0.0,0.25,0.07570422535211269,0.0021346615671973676,0.3931818181818182,0.4761462691057368,0.11441441432555892,0.43339332006230485,-0.5859378440667095,-1.222993481017742,EXC
0.0,1.0,0.0,0.0,0.25,0.4190140845070423,0.0005336653917993419,0.1409090909090909,0.2919059341342284,0.43226094053244835,0.25503974102864424,-0.0012852704375262915,-1.8283643350131378,EXC
0.0,1.0,0.0,0.0,0.25,0.22535211267605637,0.0008004980876990127,0.48484848484848486,0.4414819501071762,0.3319735498770537,0.45125823886389765,-0.7182869169654361,-1.9715922426995562,EXC
0.0,1.0,0.0,0.0,0.25,0.17781690140845074,0.00026683269589967095,0.21818181818181817,0.32292299204358393,0.17138392373820288,0.3260537755020954,-0.026096187447227488,-1.8598047834796656,EXC
0.0,1.0,0.0,0.0,0.25,0.17781690140845074,0.0,0.0,0.303118215556808,0.1625558803519691,0.30078473128366495,3.5844000632510205,-1.3777076630768517,EXC
0.0,1.0,0.0,0.0,0.25,0.09330985915492956,0.00026683269589967095,0.2272727272727273,0.5068074989916982,0.2490567084314671,0.45250076836291925,-0.40014615265780795,-2.489067425869842,EXC
